               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11203,            0.029737,            0.025582,          0.00066578,               0.125,          0.00046133,          9.2266e-05,            0.038549,            0.022767,            0.009036,              0.0973,              0.0003,              0.0003
                   1,             0.10184,            0.030003,            0.027143,           0.0033352,               0.875,           0.0041881,          0.00055546,            0.035893,            0.021384,           0.0092101,            0.093688,          0.00068845,          0.00068845
                   2,            0.072404,            0.029528,            0.019442,           0.0033428,                   1,           0.0085061,           0.0020173,            0.030041,            0.019428,           0.0093324,            0.090064,           0.0010637,           0.0010637
                   3,            0.097307,            0.031504,            0.024105,           0.0029116,               0.875,            0.015057,           0.0038733,            0.024503,            0.017521,           0.0093817,            0.086426,           0.0014257,           0.0014257
                   4,            0.072694,            0.029035,            0.024243,           0.0029153,               0.875,            0.017683,            0.004088,            0.024914,            0.016587,           0.0093616,            0.082775,           0.0017746,           0.0017746
                   5,            0.068599,            0.031176,            0.023657,           0.0029128,               0.875,            0.061387,           0.0090261,            0.024869,            0.015599,           0.0091628,             0.07911,           0.0021103,           0.0021103
                   6,            0.059271,            0.027995,              0.0198,           0.0029303,               0.875,            0.011261,           0.0024608,            0.025505,             0.01458,           0.0090957,            0.075433,           0.0024327,           0.0024327
                   7,            0.058048,            0.030756,            0.020891,            0.012573,                0.75,            0.056941,            0.012291,            0.025061,            0.013347,           0.0087836,            0.071742,            0.002742,            0.002742
                   8,            0.062016,            0.028876,            0.019893,           0.0029431,               0.875,            0.030141,           0.0048237,            0.024572,             0.01243,           0.0091535,            0.068038,            0.003038,            0.003038
                   9,            0.056498,            0.026317,            0.020649,           0.0033571,                   1,             0.05863,            0.011285,            0.025619,            0.011939,           0.0089732,            0.064321,           0.0033208,           0.0033208
                  10,            0.047798,            0.028031,            0.018873,           0.0033482,                   1,            0.031136,           0.0078369,            0.025985,            0.011348,           0.0088094,             0.06059,           0.0035905,           0.0035905
                  11,            0.045615,            0.026332,            0.017546,            0.018933,               0.375,            0.034712,           0.0098224,             0.02844,            0.010574,           0.0090143,            0.056847,            0.003847,            0.003847
                  12,            0.059062,            0.024284,            0.017903,             0.14142,               0.125,             0.06953,            0.010442,            0.029002,            0.009992,           0.0092452,             0.05309,           0.0040902,           0.0040902
                  13,            0.036474,            0.022838,            0.015958,            0.072567,                0.25,             0.06791,            0.014458,            0.026454,           0.0098986,           0.0089175,             0.04932,           0.0043202,           0.0043202
                  14,            0.038962,            0.023683,             0.01651,             0.10415,                0.25,            0.090109,            0.016734,            0.027196,           0.0091772,           0.0085107,            0.045537,           0.0045371,           0.0045371
                  15,            0.046629,            0.022512,            0.015774,             0.15169,               0.375,             0.17601,            0.036237,            0.021142,            0.009435,           0.0081398,            0.041741,           0.0047408,           0.0047408
                  16,            0.056132,            0.020707,            0.018467,              0.1145,                0.25,             0.22401,            0.058735,            0.023795,           0.0092987,            0.007926,            0.037931,           0.0049312,           0.0049312
                  17,            0.044842,            0.021526,            0.015326,            0.085417,                0.25,            0.083503,            0.018785,            0.028706,           0.0081059,           0.0079655,            0.034108,           0.0051084,           0.0051084
                  18,            0.058748,            0.019585,            0.014673,            0.039453,               0.125,            0.042881,            0.012738,            0.028553,           0.0076591,           0.0079469,            0.030272,           0.0052725,           0.0052725
                  19,            0.052906,            0.018591,             0.01421,            0.076094,                0.25,            0.057829,            0.015749,            0.029591,            0.006857,           0.0077192,            0.026423,           0.0054234,           0.0054234
                  20,            0.052195,            0.020721,             0.01594,             0.17951,                0.25,             0.12792,            0.031613,            0.028091,           0.0062725,           0.0077191,            0.022561,            0.005561,            0.005561
                  21,            0.063795,            0.019006,            0.015212,             0.25523,                0.25,             0.20053,            0.052561,            0.027465,            0.005955,           0.0075467,            0.018685,           0.0056854,           0.0056854
                  22,            0.040906,            0.021093,            0.012788,                 0.5,             0.23113,             0.29907,            0.060252,            0.026441,           0.0057663,           0.0073777,            0.014797,           0.0057967,           0.0057967
                  23,            0.047859,            0.016974,            0.014376,             0.13646,               0.125,             0.17575,            0.049202,            0.026381,           0.0055332,           0.0075684,            0.010895,           0.0058948,           0.0058948
                  24,            0.050703,            0.018652,            0.019244,            0.071878,                0.25,            0.067249,            0.019692,            0.026577,           0.0053286,           0.0075489,           0.0069796,           0.0059796,           0.0059796
